Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,Pos
18,704,18,2-May,NYY,@,CHW,L1-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.352,0.465,0.676,1.141,4,CF
19,705,19,3-May,NYY,@,CHW,W6-5,CG(13),6,3,1,0,0,0,0,0,2,0,0,1,0,0,,0,0,0,0.338,0.467,0.649,1.116,4,CF
20,706,20,4-May,NYY,@,DET,L1-10,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0.333,0.458,0.641,1.099,4,CF
21,707,21,5-May,NYY,@,DET,L3-7,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.321,0.45,0.617,1.067,4,CF
22,708,22,6-May,NYY,@,DET,L4-7,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.306,0.433,0.588,1.021,4,CF
23,709,23,7-May,NYY,@,CLE,W7-5,CG,5,3,0,0,0,0,0,0,2,0,0,0,0,0,,1,0,0,0.295,0.431,0.568,0.999,4,CF
24,710,24,8-May,NYY,@,CLE,W5-4,CG,4,4,0,2,0,0,0,1,0,0,0,0,0,0,,1,0,0,0.304,0.434,0.565,0.999,4,CF
25,711,25,11-May,NYY,@,BOS,L5-13,CG,5,5,1,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.32,0.441,0.567,1.008,4,CF
26,712,26,12-May,NYY,@,BOS,L4-8,CG,5,4,0,2,1,0,0,0,1,0,0,0,0,0,,0,0,0,0.327,0.447,0.574,1.021,4,CF
27,713,27,13-May,NYY,,CLE,L1-2,CG(10),4,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.314,0.433,0.552,0.985,4,CF
28,714,28,14-May,NYY,,CLE,L1-4,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.306,0.427,0.537,0.965,4,CF
29,715,29,15-May,NYY,,CHW,L1-13,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0.304,0.422,0.527,0.949,4,CF
30,716,30,16-May,NYY,,CHW,W6-5,CG,4,4,2,2,0,1,1,1,0,0,0,0,0,0,,0,0,0,0.31,0.424,0.569,0.993,4,CF
31,717,31,17-May,NYY,,CHW,L2-3,CG,4,3,1,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.311,0.427,0.563,0.99,4,CF
32,718,32,18-May,NYY,,SLB,W12-2,CG,5,3,3,3,1,0,0,1,1,0,0,0,0,0,,0,0,0,0.328,0.442,0.582,1.024,4,CF
33,719,33,19-May,NYY,,SLB,L1-5,CG,4,3,0,1,1,0,0,0,1,0,0,0,0,0,,0,0,0,0.328,0.444,0.584,1.028,4,CF
34,720,34,20-May,NYY,,SLB,W10-9,CG,5,5,1,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0.323,0.436,0.569,1.005,4,CF
35,721,35,21-May,NYY,,DET,W5-4,CG(10),5,5,0,2,0,0,0,1,0,0,0,0,0,0,,0,0,0,0.326,0.435,0.563,0.998,4,CF
36,722,36,22-May,NYY,,DET,W6-5,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0.324,0.43,0.554,0.984,4,CF
37,723,37,23-May,NYY,,BOS,T9-9,CG,5,5,0,1,0,0,0,2,0,0,0,0,0,0,,0,0,0,0.319,0.424,0.542,0.965,4,CF
38,724,38,24-May,NYY,,BOS,W7-6,CG,4,4,2,1,0,0,0,2,0,0,0,0,0,0,,0,0,0,0.318,0.42,0.534,0.953,4,CF
39,725,39,25-May,NYY,,BOS,L3-10,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.316,0.416,0.526,0.942,4,CF
40,726,40,27-May,NYY,@,WSH,W10-8,CG,5,5,3,4,0,0,1,3,0,0,0,0,0,0,,0,0,0,0.331,0.426,0.554,0.98,4,CF
41,727,41,28-May,NYY,@,WSH,W6-5,CG,5,4,1,1,0,1,0,0,1,0,0,0,0,0,,0,0,0,0.329,0.426,0.559,0.985,4,CF
42,728,42,29-May,NYY,@,WSH,T2-2,CG(5),3,3,1,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0.329,0.424,0.555,0.979,4,CF
43,729,43,May 30 (1),NYY,@,BOS,W4-3,CG,4,2,1,1,0,0,0,0,2,0,0,0,0,0,,0,0,0,0.331,0.431,0.554,0.985,4,CF
44,730,44,May 30 (2),NYY,@,BOS,L0-13,CG,3,3,0,1,1,0,0,0,0,0,1,0,0,0,,0,0,0,0.331,0.429,0.556,0.986,4,CF
45,731,45,Jun 1 (1),NYY,@,CLE,W2-0,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.329,0.426,0.549,0.975,4,CF
46,732,46,Jun 1 (2),NYY,@,CLE,W5-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.328,0.422,0.542,0.965,4,CF
47,733,47,2-Jun,NYY,@,CLE,L5-7,CG,4,4,2,2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0.331,0.424,0.547,0.971,4,CF
48,734,48,3-Jun,NYY,@,DET,L2-4,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,,0,0,0,0.33,0.421,0.557,0.977,4,CF
49,735,49,5-Jun,NYY,@,DET,L4-5,CG(10),5,5,1,1,0,1,0,1,0,0,0,0,0,0,,0,0,0,0.326,0.416,0.558,0.973,4,CF
50,736,50,7-Jun,NYY,@,SLB,W11-7,CG,5,5,2,3,0,0,0,1,0,0,0,0,0,0,,0,0,0,0.333,0.42,0.559,0.979,4,CF
51,737,51,Jun 8 (1),NYY,@,SLB,W9-3,CG,5,4,3,2,0,0,2,4,1,0,1,0,0,0,,0,0,0,0.337,0.424,0.588,1.012,4,CF
52,738,52,Jun 8 (2),NYY,@,SLB,W8-3,CG(7),4,4,1,2,1,0,1,3,0,0,1,0,0,0,,0,0,0,0.34,0.425,0.606,1.031,4,CF
53,739,53,10-Jun,NYY,@,CHW,W8-3,CG,5,5,1,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0.337,0.42,0.596,1.016,4,CF
54,740,54,12-Jun,NYY,@,CHW,W3-2,CG(10),5,4,1,2,0,0,1,1,1,0,0,0,0,0,,0,0,0,0.34,0.424,0.608,1.032,4,CF
55,741,55,14-Jun,NYY,,CLE,W4-1,CG,4,2,0,1,1,0,0,1,2,0,0,0,0,0,,0,0,0,0.341,0.429,0.612,1.041,4,CF
56,742,56,15-Jun,NYY,,CLE,W3-2,CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,,0,0,0,0.341,0.43,0.622,1.052,4,CF
57,743,57,16-Jun,NYY,,CLE,W6-4,CG,5,5,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0.338,0.426,0.617,1.043,4,CF
58,744,58,17-Jun,NYY,,CHW,L7-8,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.336,0.423,0.611,1.034,4,CF
59,745,59,18-Jun,NYY,,CHW,L2-3,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,,1,0,0,0.336,0.424,0.607,1.031,4,CF
60,746,60,19-Jun,NYY,,CHW,W7-2,CG,4,3,2,3,0,0,1,2,1,0,0,0,0,0,,0,0,0,0.345,0.433,0.625,1.058,4,CF
61,747,61,20-Jun,NYY,,DET,W14-4,CG,5,5,3,4,1,0,0,1,0,0,0,0,0,0,,0,0,0,0.354,0.44,0.633,1.072,4,CF
62,748,62,21-Jun,NYY,,DET,L2-7,CG,4,4,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0.353,0.437,0.627,1.063,4,CF
63,749,63,22-Jun,NYY,,DET,W5-4,CG,5,5,1,2,1,0,1,2,0,0,0,0,0,0,,0,0,0,0.354,0.436,0.638,1.074,4,CF
64,750,64,24-Jun,NYY,,SLB,W9-1,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.352,0.434,0.632,1.066,4,CF
65,751,65,25-Jun,NYY,,SLB,W7-5,CG,4,4,1,1,0,0,1,3,0,0,0,0,0,0,,0,0,0,0.35,0.431,0.638,1.069,4,CF
66,752,66,26-Jun,NYY,,SLB,W4-1,CG,4,4,0,1,1,0,0,1,0,0,0,0,0,0,,0,0,0,0.349,0.429,0.636,1.064,4,CF
67,753,67,27-Jun,NYY,@,PHA,L6-7,CG,5,3,1,2,0,0,1,2,2,0,0,0,0,0,,0,0,0,0.352,0.435,0.648,1.082,4,CF
68,754,68,28-Jun,NYY,@,PHA,W7-4,CG,5,5,1,2,1,0,0,0,0,0,0,0,0,0,,0,0,0,0.353,0.434,0.647,1.081,4,CF
69,755,69,Jun 29 (1),NYY,@,WSH,W9-4,CG,5,4,1,1,1,0,0,0,0,0,0,1,0,0,,0,0,1,0.352,0.434,0.644,1.078,4,CF
70,756,70,Jun 29 (2),NYY,@,WSH,W7-5,CG,5,5,1,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0.349,0.43,0.636,1.066,4,CF
71,757,71,Jul 1 (1),NYY,,BOS,W7-2,CG,5,4,0,2,0,0,0,1,1,0,0,0,0,0,,0,0,0,0.351,0.433,0.634,1.067,4,CF
72,758,72,Jul 1 (2),NYY,,BOS,W9-2,CG(5),3,3,1,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0.351,0.432,0.631,1.063,4,CF
73,759,73,2-Jul,NYY,,BOS,W8-4,CG,5,5,1,1,0,0,1,3,0,0,0,0,0,0,,0,0,0,0.348,0.428,0.634,1.062,4,CF
74,760,74,5-Jul,NYY,,PHA,W10-5,CG,5,4,2,1,0,0,1,2,1,0,0,0,0,0,,0,0,0,0.347,0.428,0.639,1.067,4,CF
75,761,75,Jul 6 (1),NYY,,PHA,W8-4,CG,5,5,2,4,1,0,0,2,0,0,0,0,0,0,,0,0,0,0.355,0.433,0.645,1.079,4,CF
76,762,76,Jul 6 (2),NYY,,PHA,W3-1,CG,4,4,0,2,0,1,0,2,0,0,0,0,0,0,,0,0,0,0.357,0.434,0.65,1.084,4,CF
77,763,77,10-Jul,NYY,@,SLB,W1-0,CG(5),2,2,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.358,0.434,0.649,1.083,4,CF
78,764,78,11-Jul,NYY,@,SLB,W6-2,CG,5,5,1,4,0,0,1,2,0,0,0,0,0,0,,0,0,0,0.365,0.44,0.661,1.101,4,CF
79,765,79,12-Jul,NYY,@,SLB,W7-5,CG,5,5,1,2,1,0,0,1,0,0,0,0,0,0,,0,0,0,0.365,0.439,0.66,1.099,4,CF
80,766,80,Jul 13 (1),NYY,@,CHW,W8-1,CG,5,4,2,3,0,0,0,0,0,0,0,1,0,0,,0,0,0,0.37,0.444,0.661,1.106,4,CF
81,767,81,Jul 13 (2),NYY,@,CHW,W1-0,CG(11),5,4,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.369,0.444,0.656,1.1,4,CF
82,768,82,14-Jul,NYY,@,CHW,L1-7,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.368,0.444,0.653,1.097,4,CF
83,769,83,15-Jul,NYY,@,CHW,W5-4,CG,5,4,1,2,1,0,0,2,1,0,0,0,0,0,,0,0,0,0.37,0.446,0.654,1.101,4,CF
84,770,84,16-Jul,NYY,@,CLE,W10-3,CG,5,4,3,3,1,0,0,0,1,0,0,0,0,0,,0,0,0,0.375,0.451,0.659,1.11,4,CF
85,771,85,17-Jul,NYY,@,CLE,W4-3,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,,1,0,0,0.371,0.449,0.653,1.102,4,CF
86,772,86,18-Jul,NYY,@,CLE,L1-2,CG(8),4,4,0,2,1,0,0,1,0,0,0,0,0,0,,0,0,0,0.373,0.449,0.654,1.103,4,CF
87,773,87,Jul 19 (1),NYY,@,DET,W9-3,CG,5,5,0,1,0,0,0,2,0,0,0,0,0,0,,0,0,0,0.37,0.446,0.647,1.093,4,CF
88,774,88,Jul 19 (2),NYY,@,DET,W6-2,CG,5,4,1,2,0,1,0,0,1,0,0,0,0,0,,0,0,0,0.372,0.448,0.651,1.099,4,CF
89,775,89,20-Jul,NYY,@,DET,W12-6,CG(17),9,8,2,4,3,0,1,3,1,0,0,0,0,0,,0,0,0,0.375,0.45,0.665,1.115,4,CF
90,776,90,22-Jul,NYY,,CLE,W4-3,CG,4,4,1,2,1,0,0,1,0,0,0,0,0,0,,0,0,0,0.376,0.451,0.666,1.117,4,CF
91,777,91,23-Jul,NYY,,CLE,W3-2,CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,,0,0,0,0.376,0.451,0.671,1.123,4,CF
92,778,92,24-Jul,NYY,,CLE,W4-1,CG,4,3,2,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.375,0.452,0.668,1.12,4,CF
93,779,93,25-Jul,NYY,,CHW,W8-0,CG,5,4,1,2,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.377,0.454,0.667,1.12,4,CF
94,780,94,26-Jul,NYY,,CHW,W11-3,CG,5,5,1,2,1,0,0,1,0,0,1,0,0,0,,0,0,0,0.377,0.453,0.666,1.119,4,CF
95,781,95,Jul 27 (1),NYY,,CHW,W9-5,CG,5,5,1,1,0,1,0,1,0,0,0,0,0,0,,0,0,0,0.375,0.45,0.665,1.115,4,CF
96,782,96,Jul 27 (2),NYY,,CHW,L3-7,CG,5,5,1,3,1,0,1,2,0,0,0,0,0,0,,0,0,0,0.378,0.452,0.674,1.126,4,CF
97,783,97,29-Jul,NYY,,DET,L3-6,CG,4,4,1,1,0,0,1,2,0,0,0,0,0,0,,0,0,0,0.376,0.45,0.678,1.128,4,CF
98,784,98,Jul 31 (1),NYY,,DET,W6-3,CG(13),7,4,1,1,0,0,0,0,3,0,0,0,0,0,,0,1,0,0.375,0.452,0.673,1.125,4,CF
99,785,99,Jul 31 (2),NYY,,DET,W5-0,CG(8),4,3,1,2,0,0,1,3,1,0,0,0,0,0,,0,0,0,0.377,0.455,0.681,1.136,4,CF
100,786,100,1-Aug,NYY,,SLB,W9-0,CG,5,4,2,2,1,0,0,1,1,0,0,0,0,0,,0,0,0,0.378,0.456,0.682,1.138,4,CF
101,787,101,2-Aug,NYY,,SLB,W2-0,CG,4,3,1,2,1,0,0,0,1,0,0,0,0,0,,0,0,0,0.381,0.459,0.684,1.143,4,CF
102,788,102,Aug 3 (1),NYY,,SLB,L2-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.377,0.455,0.677,1.132,4,CF
103,789,103,Aug 3 (2),NYY,,SLB,L0-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.373,0.451,0.671,1.122,4,CF
104,790,104,4-Aug,NYY,@,WSH,W7-5,CG,5,5,2,2,0,1,0,0,0,0,0,0,0,0,,0,0,0,0.373,0.45,0.672,1.123,4,CF
105,791,105,5-Aug,NYY,@,WSH,L3-4,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.372,0.449,0.668,1.117,4,CF
106,792,106,Aug 6 (1),NYY,@,BOS,L3-6,CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,0.371,0.447,0.671,1.118,4,CF
107,793,107,Aug 6 (2),NYY,@,BOS,W3-1,CG,4,3,0,1,1,0,0,2,1,0,0,0,0,0,,0,0,0,0.371,0.447,0.671,1.119,4,CF
108,794,108,7-Aug,NYY,@,BOS,L5-9,CG,5,4,0,0,0,0,0,3,1,0,0,0,0,0,,0,0,0,0.367,0.445,0.665,1.11,4,CF
109,795,109,8-Aug,NYY,@,PHA,L3-5,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0.364,0.441,0.659,1.1,4,CF
110,796,110,9-Aug,NYY,@,PHA,W8-3,CG,5,5,2,2,0,0,1,1,0,0,0,0,0,0,,0,0,0,0.364,0.441,0.663,1.104,4,CF
111,797,111,Aug 10 (1),NYY,@,PHA,W11-2,CG,5,4,2,2,1,0,0,3,1,0,0,0,0,0,,0,0,0,0.366,0.442,0.664,1.106,4,CF
112,798,112,Aug 10 (2),NYY,@,PHA,W4-1,CG,4,2,1,0,0,0,0,1,1,0,0,1,0,0,,0,0,0,0.364,0.443,0.661,1.104,4,CF
113,799,113,11-Aug,NYY,,BOS,L0-8,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.362,0.441,0.656,1.098,4,CF
114,800,114,12-Aug,NYY,,BOS,W4-0,CG,4,3,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0.359,0.44,0.652,1.092,4,CF
115,801,115,Aug 13 (1),NYY,,WSH,L3-5,CG(11),5,5,1,2,0,0,0,1,0,0,0,0,0,0,,0,0,0,0.36,0.44,0.649,1.089,4,CF
116,802,116,Aug 13 (2),NYY,,WSH,W5-1,CG,4,3,1,1,0,0,0,1,1,0,0,0,0,0,,0,0,0,0.359,0.44,0.647,1.087,4,CF
117,803,117,Aug 14 (1),NYY,,WSH,W7-0,CG,5,4,1,3,1,1,0,3,1,0,0,0,0,0,,0,0,0,0.363,0.443,0.654,1.098,4,CF
118,804,118,Aug 14 (2),NYY,,WSH,W10-3,CG,5,4,2,1,0,1,0,1,1,0,0,0,0,0,,0,0,0,0.362,0.443,0.655,1.098,4,CF
119,805,119,16-Aug,NYY,,PHA,L4-6,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.36,0.442,0.651,1.093,4,CF
120,806,120,Aug 17 (1),NYY,,PHA,W2-1,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,,0,1,0,0.357,0.44,0.647,1.087,4,CF
121,807,121,Aug 17 (2),NYY,,PHA,W4-3,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,1,0.355,0.439,0.643,1.082,4,CF
122,808,122,Aug 19 (1),NYY,@,DET,L3-12,CG,5,3,1,1,1,0,0,0,2,0,0,0,0,0,,0,0,0,0.355,0.44,0.643,1.083,4,CF
123,809,123,Aug 19 (2),NYY,@,DET,W8-3,GS-0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,0,0.356,0.44,0.644,1.085,4,CF
124,810,141 (17),9-Sep,NYY,,SLB,W1-0,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.355,0.441,0.643,1.083,4,CF
125,811,142,11-Sep,NYY,,DET,L4-5,CG(12),6,6,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.353,0.438,0.637,1.075,4,CF
126,812,143,12-Sep,NYY,,DET,W8-2,CG,4,4,1,3,1,1,0,4,0,0,0,0,0,0,,0,0,0,0.356,0.44,0.644,1.084,4,CF
127,813,144,13-Sep,NYY,,DET,L3-5,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0.355,0.439,0.641,1.079,4,CF
128,814,145,Sep 14 (1),NYY,,CLE,W6-3,CG,4,4,1,3,1,0,0,0,0,0,0,0,0,0,,0,0,0,0.359,0.441,0.643,1.084,4,CF
129,815,146,Sep 14 (2),NYY,,CLE,L2-5,CG(8),4,3,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.356,0.44,0.64,1.079,4,CF
130,816,147,15-Sep,NYY,,CLE,W4-2,CG,3,3,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0.356,0.439,0.638,1.077,4,CF
131,817,148,17-Sep,NYY,,CHW,W5-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0.354,0.436,0.633,1.069,4,CF
132,818,149,20-Sep,NYY,@,BOS,W8-1,CG,5,4,2,2,1,0,0,2,1,0,0,0,0,0,,0,0,0,0.355,0.438,0.634,1.071,4,CF
133,819,150,21-Sep,NYY,@,BOS,L1-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,,0,0,0,0.354,0.436,0.631,1.067,4,CF
134,820,151,23-Sep,NYY,,PHA,L8-9,CG,5,5,1,3,0,0,1,1,0,0,0,0,0,0,,0,0,0,0.356,0.438,0.636,1.074,4,CF
135,821,152,24-Sep,NYY,,PHA,W7-2,CG,4,4,2,3,0,0,2,3,0,0,0,0,0,0,,0,0,0,0.359,0.44,0.648,1.088,4,CF
136,822,153,Sep 26 (1),NYY,,WSH,W4-1,CG,4,3,0,1,0,0,0,1,1,0,0,0,0,0,,0,0,0,0.359,0.44,0.647,1.087,4,CF
137,823,154,Sep 26 (2),NYY,,WSH,W1-0,CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0.358,0.44,0.644,1.085,4,CF
138,824,155,27-Sep,NYY,,WSH,L3-4,CG,4,3,1,1,1,0,0,2,1,0,0,0,0,0,,0,0,0,0.358,0.441,0.644,1.085,4,CF
139,825,156,28-Sep,NYY,,WSH,L0-5,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,,0,0,0,0.357,0.44,0.643,1.083,4,CF
