LAST, FIRST, ID, DEBUT
Adams,Joe,adamj102,04/26/1902
Adams,Karl,adamk101,04/19/1914
Adams,Mike,adamm102,09/10/1972
Adams,Mike,adamm001,05/18/2004
Adams,Red,adamr101,05/05/1946
Adams,Rick,adamr102,07/13/1905
Adams,Ricky,adamr001,09/15/1982
Adams,Russ,adamr002,09/03/2004
Adams,Ryan,adamr003,05/20/2011
Adams,Sparky,adams101,09/18/1922
Adams,Spencer,adams102,04/22/1923
Adams,Terry,adamt001,08/10/1995
Adams,Willie,adamw101,06/30/1912
Adams,Willie,adamw001,06/11/1996
Adamson,Joel,adamj001,04/10/1996
Adamson,Mike,adamm101,07/01/1967
Adcock,Joe,adcoj101,04/23/1950
Adcock,Nathan,adcon001,03/31/2011
Addis,Bob,addib101,09/01/1950
Adduci,Jim,adduj001,09/12/1983
Addy,Bob,addyb101,05/06/1871
Adenhart,Nick,adenn001,05/01/2008
Aderholt,Morrie,aderm101,09/13/1939
Adkins,Dewey,adkid103,09/19/1942
Adkins,Dick,adkid101,09/19/1942
Adkins,Doc,adkid102,06/24/1902
Adkins,Grady,adkig101,04/13/1928
Adkins,Jon,adkij001,08/14/2003
Adkins,Steve,adkis001,09/12/1990
Adkinson,Henry,adkih101,09/25/1895
Adler,,adleu901,10/10/1884
Adlesh,Dave,adled101,05/12/1963
Afenir,Troy,afent001,09/14/1987
Affeldt,Jeremy,affej001,04/06/2002
Agbayani,Benny,agbab001,06/17/1998
Agee,Tommie,ageet101,09/14/1962
Agganis,Harry,aggah101,04/13/1954
Agler,Joe,aglej101,10/01/1912
Agnew,Sam,agnes101,04/10/1913
Agosto,Juan,agosj001,09/07/1981
Aguayo,Luis,agual001,04/19/1980
Aguila,Chris,aguic001,06/28/2004
Aguilera,Rick,aguir001,06/12/1985
Aguirre,Hank,aguih101,09/10/1955
Ahearn,William,aheac101,06/19/1880
Ahearne,Pat,aheap001,06/14/1995
Aikens,Willie,aikew001,05/17/1977
Ainge,Danny,aingd101,05/21/1979
Ainsmith,Eddie,ainse101,08/09/1910
Ainsworth,Kurt,ainsk001,09/05/2001
Aitchison,Raleigh,aitcr101,04/19/1911
Aiton,George,aitog101,06/29/1912
Ake,John,ake-j101,05/12/1884
Aker,Jack,akerj102,05/03/1964
Akerfelds,Darrel,akerd001,08/01/1986
Akers,Bill,akerb101,09/08/1929
Akers,Jerry,akerj101,05/04/1912
Alba,Gibson,albag001,05/03/1988
Albaladejo,Jonathan,albaj001,09/05/2007
Albanese,Joe,albaj101,07/18/1958
Alberro,Jose,albej001,04/27/1995
Albers,Matt,albem001,07/25/2006
Alberts,Butch,albeb101,09/07/1978
Alberts,Cy,albec101,09/17/1910
Alberts,Gus,albeg101,05/01/1884
Albosta,Ed,alboe101,09/03/1941
Albrecht,Ed,albre101,10/02/1949
Albright,Jack,albrj101,05/19/1947
Alburquerque,Al,albua001,04/15/2011
Albury,Vic,albuv101,08/07/1973
Alcala,Santo,alcas101,04/10/1976
Alcantara,Israel,alcai001,06/25/2000
Alcaraz,Luis,alcal101,09/13/1967
Alcock,Scotty,alcos101,04/19/1914
Alderson,Dale,alded101,09/18/1943
Aldred,Scott,aldrs001,09/09/1990
Aldrete,Mike,aldrm001,05/28/1986
Aldrich,Jay,aldrj001,06/05/1987
Aldridge,Cory,aldrc001,09/05/2001
Aldridge,Vic,aldrv101,04/15/1917
Alejo,Bob,alejb801,04/05/1993
Aleno,Chuck,alenc101,05/15/1941
Alexander,Bob,alexb101,04/11/1955
Alexander,Dale,alexd101,04/16/1929
Alexander,Doyle,alexd001,06/26/1971
Alexander,Gary,alexg101,09/12/1975
Alexander,Gerald,alexg001,09/09/1990
Alexander,Hugh,alexh101,08/15/1937
Alexander,Manny,alexm001,09/18/1992
Alexander,Matt,alexm101,08/23/1973
Alexander,Nin,alexn101,06/07/1884
Alexander,Pete,alexg102,04/15/1911
Alexander,Walt,alexw101,06/21/1912
Alfaro,Jason,alfaj001,09/09/2004
Alfonseca,Antonio,alfoa001,06/17/1997
Alfonso,Carlos,alfoc801,04/06/1992
Alfonzo,Edgardo,alfoe001,04/26/1995
Alfonzo,Eliezer,alfoe002,06/03/2006
Alicea,Luis,alicl001,04/23/1988
Allanson,Andy,allaa001,04/07/1986
Allard,Brian,allab101,08/08/1979
Allen,Bernie,alleb105,04/10/1962
Allen,Bob,alleb103,04/19/1890
Allen,Bob,alleb104,08/20/1919
Allen,Bob,alleb102,09/19/1937
Allen,Bob,alleb101,04/14/1961
Allen,Brandon,alleb001,08/22/2009
Allen,Chad,allec001,04/06/1999
Allen,Dick,alled101,09/03/1963
Allen,Dusty,alled001,07/01/2000
Allen,Ethan,allee101,06/13/1926
Allen,Frank,allef101,04/24/1912
Allen,Ham,alleh102,04/27/1872
Allen,Hank,alleh104,09/09/1966
Allen,Hezekiah,alleh103,05/16/1884
Allen,Horace,alleh101,06/15/1919
Allen,Jack,allej103,05/01/1879
Allen,Jamie,allej101,05/01/1983
Allen,John,allej104,06/02/1914
Allen,Johnny,allej102,04/19/1932
Allen,Kim,allek101,09/02/1980
Allen,Lloyd,allel101,09/01/1969
Allen,Luke,allel001,09/10/2002
Allen,Myron,allem101,07/19/1883
Allen,Neil,allen001,04/15/1979
Allen,Nick,allen101,05/01/1914
Allen,Pete,allep101,08/04/1893
Allen,Rod,aller001,04/07/1983
Allen,Ron,aller101,08/11/1972
Allen,Sled,alles101,05/04/1910
Allenson,Gary,alleg001,04/08/1979
Allensworth,Jermaine,allej001,07/23/1996
Alley,Gene,alleg101,09/04/1963
Allie,Gair,allig101,04/13/1954
Allietta,Bob,allib101,05/06/1975
Allison,Andy,allia102,05/07/1872
Allison,Art,allia101,05/04/1871
Allison,Bill,allib102,05/21/1872
Allison,Bob,allib103,09/16/1958
Allison,Dana,allid001,04/12/1991
Allison,Doug,allid101,05/05/1871
Allison,Mack,allim102,09/13/1911
Allison,Milo,allim101,09/26/1913
Allred,Beau,allrb001,09/07/1989
Almada,Mel,almam101,09/08/1933
Almanza,Armando,almaa001,07/29/1999
Almanzar,Carlos,almac001,09/04/1997
Almeida,Rafael,almer101,07/04/1911
Almon,Bill,almob001,09/02/1974
Almonte,Edwin,almoe002,07/07/2003
Almonte,Erick,almoe001,09/04/2001
Almonte,Hector,almoh001,07/26/1999
Aloma,Luis,aloml101,04/19/1950
Alomar,Roberto,alomr001,04/22/1988
Alomar,Sandy,aloms101,09/15/1964
Alomar,Sandy,aloms001,09/30/1988
Alonso,Yonder,alony001,09/01/2010
Alou,Felipe,alouf101,06/08/1958
Alou,Jesus,alouj101,09/10/1963
Alou,Matty,aloum101,09/26/1960
Alou,Moises,aloum001,07/26/1990
Alperman,Whitey,alpew101,04/13/1906
Alston,Dave,alstd901,06/30/1871
Alston,Dell,alstd101,05/17/1977
Alston,Garvin,alstg001,06/06/1996
Alston,Tom,alstt101,04/13/1954
Alston,Walter,alstw101,09/27/1936
Altamirano,Porfi,altap001,05/09/1982
Alten,Ernie,altee101,04/17/1920
Altenburg,Jesse,altej101,09/19/1916
Altizer,Dave,altid101,05/29/1906
Altman,George,altmg101,04/11/1959
Altobelli,Joe,altoj101,04/14/1955
Altrock,Nick,altrn101,07/14/1898
Altuve,Jose,altuj001,07/20/2011
Alusik,George,alusg101,09/11/1958
Alvarado,Luis,alval101,09/13/1968
Alvarez,Abe,alvaa001,07/22/2004
Alvarez,Clemente,alvac001,09/19/2000
Alvarez,Gabe,alvag001,06/22/1998
Alvarez,Henderson,alvah001,08/10/2011
Alvarez,Jose,alvaj001,10/01/1981
Alvarez,Juan,alvaj002,09/01/1999
Alvarez,Orlando,alvao102,09/01/1973
Alvarez,Ossie,alvao101,04/19/1958
Alvarez,Pedro,alvap001,06/16/2010
Alvarez,Rogelio,alvar101,09/18/1960
Alvarez,Tavo,alvat001,08/21/1995
Alvarez,Tony,alvat002,09/04/2002
Alvarez,Victor,alvav001,07/30/2002
Alvarez,Wilson,alvaw001,07/24/1989
Alvis,Max,alvim101,09/11/1962
Alvord,Billy,alvob101,04/30/1885
Alyea,Brant,alyeb101,09/11/1965
Amalfitano,Joey,amalj101,05/02/1954
Amaral,Rich,amarr001,05/27/1991
Amarista,Alexi,amara001,04/26/2011
Amaro,Ruben,amarr101,06/29/1958
Amaro,Ruben,amarr002,06/08/1991
Ambler,Wayne,amblw101,06/04/1937
Ambres,Chip,ambrc001,07/20/2005
Ambriz,Hector,ambrh001,04/30/2010
Amelung,Ed,amele001,07/28/1984
Ames,Red,amesr101,09/14/1903
Amezaga,Alfredo,ameza001,05/24/2002
Amole,Doc,amold101,08/19/1897
Amor,Vicente,amorv101,04/16/1955
Amoros,Sandy,amors101,08/22/1952
Ancker,Walter,anckw101,09/03/1915
Andersen,Larry,andel001,09/05/1975
Anderson,Alf,andea102,04/20/1941
Anderson,Allan,andea001,06/11/1986
Anderson,Andy,andea101,05/10/1948
Anderson,Andy,andea901,08/25/1978
Anderson,Bill,robib103,08/12/1889
Anderson,Bill,andeb103,09/10/1925
Anderson,Bob,andeb102,07/31/1957
Anderson,Brady,andeb001,04/04/1988
Anderson,Brett,andeb004,04/10/2009
Anderson,Brian,andeb002,09/10/1993
Anderson,Brian,andeb003,08/16/2005
Anderson,Bryan,andeb005,04/15/2010
Anderson,Bud,andeb101,06/11/1982
Anderson,Craig,andec101,06/23/1961
Anderson,Dave,anded102,08/24/1889
Anderson,Dave,anded001,05/08/1983
Anderson,Drew,anded002,09/11/2006
Anderson,Dwain,anded101,09/03/1971
Anderson,Ferrell,andef102,04/16/1946
Anderson,Fred,andef101,09/25/1909
Anderson,Garret,andeg001,07/27/1994
Anderson,George,andeg102,05/26/1914
Anderson,Goat,andeg101,04/11/1907
Anderson,Hal,andeh102,04/12/1932
Anderson,Harry,andeh101,04/18/1957
Anderson,Jason,andej003,03/31/2003
Anderson,Jim,andej001,07/02/1978
Anderson,Jimmy,andej002,07/04/1999
Anderson,John,andej101,09/08/1894
Anderson,John,andej102,08/17/1958
Anderson,Josh,andej004,09/02/2007
Anderson,Kent,andek001,04/15/1989
Anderson,Larry,andel101,09/25/1974
Anderson,Lars,andel002,09/06/2010
Anderson,Marlon,andem003,09/08/1998
Anderson,Matt,andem002,06/25/1998
Anderson,Mike,andem101,09/02/1971
Anderson,Mike,andem001,09/07/1993
Anderson,Ollie,andeo901,04/14/1914
Anderson,Red,ander102,09/19/1937
Anderson,Rick,ander101,09/18/1979
Anderson,Rick,ander001,06/09/1986
Anderson,Scott,andes001,04/08/1987
Anderson,Sparky,andes101,04/10/1959
Anderson,Varney,andev101,08/01/1889
Anderson,Walter,andew102,05/14/1917
Anderson,Wingo,andew101,04/16/1910
Andino,Robert,andir001,09/04/2005
Andrade,Steve,andrs002,05/01/2006
Andre,John,andrj102,04/16/1955
Andres,Ernie,andre103,04/16/1946
Andress,Bill,andrb901,05/01/1979
Andress,Brad,andrb801,04/09/1990
Andrew,Kim,andrk101,04/16/1975
Andrews,Clayton,andrc001,04/16/2000
Andrews,Ed,andre101,05/01/1884
Andrews,Elbert,andre102,05/01/1925
Andrews,Fred,andrf101,09/26/1976
Andrews,Hub,andrh101,04/20/1947
Andrews,Ivy,andri101,08/15/1931
Andrews,Jeff,andrj801,03/31/2008
Andrews,Jim,andrj103,04/19/1890
Andrews,John,andrj101,04/08/1973
Andrews,Mike,andrm101,09/18/1966
Andrews,Nate,andrn101,05/01/1937
Andrews,Rob,andrr101,04/07/1975
Andrews,Shane,andrs001,04/26/1995
Andrews,Stan,andrs101,06/11/1939
Andrews,Wally,andrw102,05/22/1884
Andrus,Bill,andrb101,09/19/1931
Andrus,Elvis,andre001,04/06/2009
Andrus,Fred,andrf102,07/25/1876
Andrus,Wyman,andrw101,09/15/1885
Andujar,Joaquin,anduj001,04/08/1976
Andujar,Luis,andul001,09/08/1995
Angelini,Norm,angen101,07/22/1972
Angle,Matt,anglm001,07/17/2011
Angley,Tom,anglt101,04/23/1929
Ankenman,Pat,ankep101,04/16/1936
Ankiel,Rick,ankir001,08/23/1999
Annan,Bill,annaw901,05/17/1873
Annis,Bill,annib101,05/01/1884
Anson,Cap,ansoc101,05/06/1871
Anthony,Eric,anthe001,07/28/1989
Anthony,Merle,anthm901,06/21/1969
Antolick,Joe,antoj102,09/20/1944
Antonelli,John,antoj101,09/16/1944
Antonelli,Johnny,antoj103,07/04/1948
Antonelli,Matt,antom001,09/01/2008
Antonello,Bill,antob101,04/30/1953
Aparicio,Luis,aparl101,04/17/1956
Apodaca,Bob,apodb101,09/18/1973
Aponte,Luis,aponl001,09/04/1980
Aponte,Ricardo,aponr801,04/02/2007
Appier,Kevin,appik001,06/04/1989
Applegate,Fred,applf101,09/30/1904
Appleton,Ed,apple101,04/16/1915
Appleton,Pete,applp101,09/14/1927
Appling,Luke,appll101,09/10/1930
Aquino,Greg,aquig001,07/02/2004
Aquino,Luis,aquil001,08/08/1986
Aragon,Angel,araga101,08/20/1914
Aragon,Jack,aragj101,08/13/1941
Arata,Mark,aratm901,04/08/1991
Archdeacon,Maurice,archm101,09/17/1923
Archer,Fred,archf101,09/05/1936
Archer,Jim,archj101,04/30/1961
Archer,Jimmy,archj102,09/06/1904
Archie,George,archg101,09/14/1938
Arcia,Jose,arcij101,04/10/1968
Ardell,Dan,arded101,09/14/1961
Ardizoia,Rugger,ardir101,04/30/1947
Ardner,Joe,ardnj101,05/01/1884
Ardoin,Danny,ardod001,08/02/2000
Arellanes,Frank,arelf101,07/28/1908
Arencibia,J.P.,arenj001,08/07/2010
Arft,Hank,arfth101,07/27/1948
Arias,Alberto,ariaa002,05/01/2007
Arias,Alex,ariaa001,05/12/1992
Arias,George,ariag001,04/02/1996
Arias,Joaquin,ariaj001,09/13/2006
Arias,Rudy,ariar101,04/10/1959
Arlett,Buzz,arleb101,04/14/1931
Arlich,Don,arlid101,10/02/1965
Arlin,Steve,arlis101,06/17/1969
Armas,Marcos,armam001,05/25/1993
Armas,Tony,armat001,09/06/1976
Armas,Tony,armat002,08/16/1999
Armbrister,Ed,armbe101,08/31/1973
Armbrust,Orville,armbo101,09/18/1934
Armbruster,Charlie,armbc101,07/17/1905
Armbruster,Harry,armbh101,04/30/1906
Armendariz,Ramon,armer901,05/01/2004
Armour,Bill,armob801,04/23/1902
Armstrong,George,armsg101,04/26/1946
Armstrong,Howard,armsh101,09/30/1911
Armstrong,Jack,armsj001,06/21/1988
Armstrong,Mike,armsm001,08/12/1980
Armstrong,Robert,armsr101,06/26/1871
Arndt,Harry,arndh101,07/02/1902
Arndt,Larry,arndl001,06/06/1989
Arnold,Billy,arnob101,04/26/1872
Arnold,Chris,arnoc101,09/07/1971
Arnold,Frank,arnof901,05/20/1889
Arnold,Jamie,arnoj001,04/20/1999
Arnold,Scott,arnos001,04/07/1988
Arnold,Tony,arnot001,08/09/1986
Arnovich,Morrie,arnom101,09/14/1936
Arnsberg,Brad,arnsb001,09/06/1986
Arntzen,Orie,arnto101,04/20/1943
Arocha,Rene,arocr001,04/09/1993
Arredondo,Jose,arrej001,05/14/2008
Arrieta,Jake,arrij001,06/10/2010
Arrigo,Gerry,arrig101,06/12/1961
Arrojo,Rolando,arror001,04/01/1998
Arroyo,Bronson,arrob001,06/12/2000
Arroyo,Fernando,arrof001,06/28/1975
Arroyo,Luis,arrol101,04/20/1955
Arroyo,Rudy,arror101,06/01/1971
Arsenault,Pierre,arsep801,04/06/1992
Arundel,Harry,arunh101,07/19/1875
Arundel,Tug,arunt101,05/23/1882
Asadoor,Randy,asadr001,09/14/1986
Asbell,Jim,asbej101,05/08/1938
Asbjornson,Casper,asbjc101,09/17/1928
Ascanio,Jose,ascaj001,07/13/2007
Aschwege,Dave,aschd901,07/08/2003
Asencio,Miguel,asenm001,04/06/2002
Ash,Ken,ash-k101,04/17/1925
Ashburn,Richie,ashbr101,04/20/1948
Ashby,Alan,ashba001,07/03/1973
Ashby,Andy,ashba002,06/10/1991
Ashford,Emmett,ashfe901,04/11/1966
Ashford,Tucker,ashft001,09/21/1976
Ashley,Billy,ashlb001,09/01/1992
Asmussen,Tom,asmut101,08/10/1907
Aspromonte,Bob,asprb101,09/19/1956
Aspromonte,Ken,asprk101,09/02/1957
Asselstine,Brian,asseb101,09/14/1976
Assenmacher,Paul,assep001,04/12/1986
Astacio,Ezequiel,astae001,05/03/2005
Astacio,Pedro,astap001,07/03/1992
Astroth,Joe,astrj101,08/13/1945
Atchison,Scott,atchs001,07/31/2004
Atchley,Justin,atchj001,04/07/2001
Atherton,Charlie,athec101,05/30/1899
Atherton,Keith,athek001,07/14/1983
Atilano,Luis,atill001,04/23/2010
Atkins,Garrett,atkig001,08/03/2003
Atkins,James,atkij101,09/29/1950
Atkins,Mitch,atkim001,07/29/2009
Atkins,Tommy,atkit101,10/02/1909
Atkinson,Al,atkia101,05/01/1884
Atkinson,Bill,atkib101,09/18/1976
Atkinson,Ed,atkie101,10/22/1873
Atkinson,Lefty,atkil101,08/05/1927
Attreau,Dick,attrd101,09/14/1926
Atwell,Toby,atwet101,04/15/1952
Atwood,Bill,atwob101,04/15/1936
Atz,John,atz-j101,09/24/1902
Aubrey,Chub,aubrc101,04/22/1903
Aubrey,Michael,aubrm001,05/17/2008
Aucoin,Derek,aucod001,05/21/1996
Aude,Rich,auder001,09/09/1993
Auerbach,Rick,auerr101,04/13/1971
Auferio,Tony,aufet801,04/06/1973
Augenstein,Bryan,augeb001,05/13/2009
August,Don,augud001,06/02/1988
Augustine,Dave,augud101,09/03/1973
Augustine,Jerry,auguj001,09/09/1975
Auker,Elden,aukee101,08/10/1933
Aulds,Tex,auldt101,05/25/1947
Ault,Doug,aultd101,09/09/1976
Aurilia,Rich,aurir001,09/06/1995
Ausanio,Joe,ausaj001,07/14/1994
Ausmus,Brad,ausmb001,07/28/1993
Aust,Dennis,austd101,09/06/1965
Austin,Ed,auste901,09/30/1890
Austin,Henry,austh101,04/28/1873
Austin,Jeff,austj002,06/26/2001
Austin,Jim,austj001,07/04/1991
Austin,Jimmy,austj101,04/19/1909
Austin,Rick,austr101,06/21/1970
Autry,Al,autra101,09/14/1976
Autry,Chick,autrc101,09/18/1907
Autry,Chick,autrc102,04/20/1924
Avants,Nick,avann901,09/21/1970
Aven,Bruce,avenb001,08/27/1997
Averill,Earl,avere101,04/16/1929
Averill,Earl,avere102,04/19/1956
Avery,Ham,averh901,05/12/1874
Avery,Steve,avers001,06/13/1990
Avila,Alex,avila001,08/06/2009
Avila,Bobby,avilb101,04/30/1949
Aviles,Mike,avilm001,05/29/2008
Aviles,Ramon,avilr101,07/10/1977
Avrea,Jay,avrej101,04/22/1950
Axelrod,Dylan,axeld001,09/07/2011
Axford,John,axfoj001,09/15/2009
Ayala,Benny,ayalb001,08/27/1974
Ayala,Bobby,ayalb002,09/05/1992
Ayala,Luis,ayall001,03/31/2003
Aybar,Erick,aybae001,05/16/2006
Aybar,Manny,aybam001,08/04/1997
Aybar,Willy,aybaw001,08/31/2005
Aydelott,Jake,aydej101,05/15/1884
Ayers,A.D.,ayeru901,05/05/1876
Ayers,Bill,ayerb101,04/17/1947
Ayers,Doc,ayerd101,09/09/1913
Aylward,Dick,aylwd101,05/01/1953
Ayrault,Bob,ayrab001,06/07/1992
Ayrault,Joe,ayraj001,09/01/1996
Azcue,Joe,azcuj101,08/03/1960
Azocar,Oscar,azoco001,07/17/1990
Babb,Charlie,babbc101,04/17/1903
Babcock,Bob,babcb101,07/22/1979
Babe,Loren,babel101,08/19/1952
Babich,Johnny,babij101,06/19/1934
Babington,Charlie,babic101,07/20/1915
Babitt,Shooty,babis101,04/09/1981
Backe,Brandon,backb001,07/19/2002
Backman,Les,backl101,07/03/1909
Backman,Wally,backw001,09/02/1980
Bacon,Eddie,bacoe101,08/13/1917
Bacsik,Michael,bacsm001,08/05/2001
Bacsik,Mike,bacsm101,06/15/1975
Baczewski,Fred,baczf101,04/26/1953
Badenhop,Burke,badeb001,04/09/2008
Bader,Art,badea101,08/02/1904
Bader,King,badek101,09/30/1912
Badgro,Red,badgr101,06/20/1929
Baecht,Ed,baece101,04/24/1926
Baek,Cha-Seung,baekc001,08/08/2004
Baerga,Carlos,baerc001,04/14/1990
Baez,Benito,baezb001,08/25/2001
Baez,Danys,baezd001,05/13/2001
Baez,Jose,baezj101,04/06/1977
Baez,Kevin,baezk001,09/03/1990
Bagby,Jim,bagbj101,04/22/1912
Bagby,Jim,bagbj102,04/18/1938
Bagley,Ed,begle101,05/03/1884
Bagley,Gene,beglg101,09/11/1886
Bagwell,Bill,bagwb101,04/17/1923
Bagwell,Jeff,bagwj001,04/08/1991
Bahnsen,Stan,bahns101,09/09/1966
Bahr,Ed,bahre101,05/01/1946
Bahret,Frank,bahrf101,04/17/1884
Baichley,Grover,baicg101,08/24/1914
Bailes,Scott,bails001,04/09/1986
Bailey,Andrew,baila001,04/06/2009
Bailey,Bill,bailb101,09/17/1907
Bailey,Bill,bailb102,04/21/1911
Bailey,Bob,bailb103,09/14/1962
Bailey,Buddy,bailb801,04/04/2000
Bailey,Cory,bailc001,09/01/1993
Bailey,Ed,baile101,09/26/1953
Bailey,Fred,bailf101,08/19/1916
Bailey,Gene,bailg101,09/10/1917
Bailey,Harvey,bailh102,06/30/1899
Bailey,Homer,bailh001,06/08/2007
Bailey,Howard,bailh101,04/12/1981
Bailey,Jeff,bailj001,07/06/2007
Bailey,Jim,bailj101,09/10/1959
Bailey,King,bailk101,09/21/1895
Bailey,Mark,bailm001,04/27/1984
Bailey,Roger,bailr001,04/27/1995
Bailey,Steve,bails102,04/14/1967
Bailey,Sweetbread,bails101,05/23/1919
Bailor,Bob,bailb001,09/06/1975
Bain,Loren,bainl101,06/23/1945
Baines,Harold,bainh001,04/10/1980
Bair,Doug,baird001,09/13/1976
Baird,Al,baira101,09/10/1917
Baird,Bob,bairb101,09/03/1962
Baird,Doug,baird101,04/18/1915
Baird,John,bairj901,04/14/1979
Baisley,Jeff,baisj001,09/09/2008
Bajenaru,Jeff,bajej001,09/04/2004
Bakenhaster,Dave,baked103,06/20/1964
Baker,Al,bakea101,08/20/1938
Baker,Bill,bakeb101,05/04/1940
Baker,Bock,bakeb102,04/28/1901
Baker,Charles,bakec901,09/15/1884
Baker,Charlie,bakec102,08/01/1884
Baker,Chuck,bakec101,04/07/1978
Baker,Dave,baked101,09/12/1982
Baker,Del,baked102,04/16/1914
Baker,Doug,baked001,07/02/1984
Baker,Dusty,baked002,09/07/1968
Baker,Ernie,bakee101,08/18/1905
Baker,Floyd,bakef103,05/04/1943
Baker,Frank,bakef104,07/27/1969
Baker,Frank,bakef101,08/09/1970
Baker,Gene,bakeg101,09/20/1953
Baker,George,bakeg102,05/24/1883
Baker,Home Run,bakef102,09/21/1908
Baker,Howard,bakeh101,08/11/1912
Baker,Jack,bakej103,09/11/1976
Baker,Jeff,bakej001,04/04/2005
Baker,Jesse,bakej101,04/23/1911
Baker,Jesse,bakej104,09/14/1919
Baker,John,bakej002,07/09/2008
Baker,Kirtley,bakek101,05/07/1890
Baker,Neal,baken102,06/26/1927
Baker,Norm,baken101,05/21/1883
Baker,Phil,bakep101,05/01/1883
Baker,Scott,bakes001,07/17/1995
Baker,Scott,bakes002,05/07/2005
Baker,Steve,bakes101,05/25/1978
Baker,Tom,baket103,08/15/1935
Baker,Tom,baket102,08/02/1963
Baker,Tracy,baket101,06/19/1911
Bakley,Jersey,bakej102,05/11/1883
Bako,Paul,bakop001,04/30/1998
Balas,Mike,balam101,04/27/1938
Balaz,John,balaj101,09/10/1974
Balboni,Steve,balbs001,04/22/1981
Balcena,Bobby,balcb101,09/16/1956
Baldelli,Rocco,baldr001,03/31/2003
Baldschun,Jack,baldj101,04/28/1961
Baldwin,Billy,baldb101,07/29/1975
Baldwin,Dave,baldd101,09/06/1966
Baldwin,Frank,baldf101,04/22/1953
Baldwin,Harry,baldh101,05/04/1924
Baldwin,Henry,baldh102,05/22/1927
Baldwin,James,baldj002,04/30/1995
Baldwin,Jeff,baldj001,05/22/1990
Baldwin,Kid,baldk101,07/27/1884
Baldwin,Lady,baldl101,09/30/1884
Baldwin,Mark,baldm101,05/02/1887
Baldwin,Orson,baldo101,09/06/1908
Baldwin,Reggie,baldr102,05/25/1978
Baldwin,Rick,baldr101,04/10/1975
Bale,John,balej001,09/30/1999
Balenti,Mike,balem101,07/19/1911
Balentien,Wladimir,balew001,09/04/2007
Bales,Lee,balel101,08/07/1966
Balester,Collin,balec001,07/01/2008
Balfour,Grant,balfg001,07/22/2001
Ball,Art,balla101,08/01/1894
